% # columns="iteration, evaluation, void, void, void, xmean", seed=470794, Tue Mar 15 21:25:55 2022, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 6 0 0 0 -3.8548236136902396 -0.24805210500032904
2 12 0 0 0 -4.808352159597492 0.30675892880421096
3 18 0 0 0 -4.91042920221286 0.22884828950445246
4 24 0 0 0 -5.539545169805509 0.6594533999480038
5 30 0 0 0 -7.060887724005891 1.2087160345285444
6 36 0 0 0 -10.220800985654712 2.2642926304274713
7 42 0 0 0 -10.239750211165305 4.751497838131961
8 48 0 0 0 -12.00363867757546 3.283990402203292
9 54 0 0 0 -12.130139037998543 4.965853483995341
10 60 0 0 0 -11.028679045729863 2.154651713234145
11 66 0 0 0 -8.667623007654392 2.2300707550312646
12 72 0 0 0 -9.85125146353796 3.3149076884722817
13 78 0 0 0 -11.558486006353704 4.756535134473028
14 84 0 0 0 -9.442633891917229 3.1319840381910478
15 90 0 0 0 -11.137793401131923 4.425292157753605
16 96 0 0 0 -10.918174005212574 3.4641880906757843
17 102 0 0 0 -13.238991007704591 4.680870590666145
18 108 0 0 0 -11.16913795289015 3.5609840294978463
19 114 0 0 0 -13.11749690261442 5.241793558186269
20 120 0 0 0 -12.432565502726334 4.261658292138981
21 126 0 0 0 -11.67615723474221 4.060862089478094
22 132 0 0 0 -11.647002334891013 4.075912160239274
23 138 0 0 0 -11.021057282383929 3.910217235574228
24 144 0 0 0 -10.57509350608839 3.684018480190672
25 150 0 0 0 -11.274605174055903 4.01171883227152
26 156 0 0 0 -11.215498067787259 3.888276426062209
